timestamp,x,y,theta,target_angle,target_distance,limelight_angle,limelight_distance
1649608112.5233684,-0.5522601731961041,-2.6696760030264532,-2.7441714120955027,3.8437024488377998,3.6022717218099167,4.105699578775918,2.4441320213054456
1649608112.6243784,-0.7543006591923977,-2.7282143076223795,-2.9426538399250415,3.831670346716687,4.241563533624245,4.233847292752756,2.543695771064944
1649608112.7251935,-0.8640997553881682,-2.7435095356901473,-3.04824631293392,3.853482662299874,4.326363091826624,4.369361813459242,2.689903984769916
1649608112.8260937,-1.0659948927813105,-2.7458403188496465,3.095487224295575,3.8442368748346665,4.611715197937596,4.440977434808814,2.764098601180857
1649608112.9268677,-1.2816658044571898,-2.7270021799327204,3.0265467721050205,3.809365613457608,4.9472703081987826,4.436244073936484,2.76010438636876
1649608113.0176146,-1.4930654861549475,-2.626339590317638,2.970522463563894,3.790065708395651,5.062278238257919,4.362976322046236,2.824004068577898
1649608113.1184583,-1.7304160889759244,-2.5806130146561292,2.9907631660575005,4.339682121879307,3.085869861843609,4.229461421777564,2.8524347029580466
1649608113.2192922,-1.9902549464721462,-2.5462429205909154,3.025669751097387,3.6257007348596075,6.593931531688634,4.153420342548804,2.956256213228304
1649608113.3203506,-2.250451132751751,-2.519330561952294,3.0534204222882306,3.5787745816423113,7.212823406794855,4.177789597557538,3.314145009475579
1649608113.4210365,-2.4551744556689576,-2.4855674843757707,3.074846915930174,3.581268705155687,6.999439908854439,4.098730406045068,3.5507131841485235
1649608113.5220094,-2.653132963443536,-2.461607274260434,3.106843423487422,3.5684323892858045,6.977351957596964,3.9016615368220138,3.771228200369252
1649608113.6231632,-2.8265231392849612,-2.4569030145077937,3.117140935316377,3.62714164583956,6.0157425138034295,3.8739955666127566,4.094140145657272
1649608113.723921,-2.9698392112237952,-2.453616804425967,3.1215042584463624,3.6449519605085503,5.764889588089173,3.839034840726999,4.350098974664876
1649608113.8249946,-3.0063839141460464,-2.4933454698916506,-3.0732222369702735,3.6683520623748724,5.291765789926467,3.8247348951921407,4.136378217510634
1649608113.9257815,-3.054854293861455,-2.517651980456828,-3.0173616081836006,3.6346514561654706,4.969046611225518,3.7733739364910437,4.553807655826556
1649608114.0267658,-3.148018160592831,-2.530732379442373,-2.98577119133308,3.6313958176099885,4.8113711276533735,3.744178950167216,4.406542499259464
1649608114.1174781,-3.1725491888934223,-2.534644653979711,-2.9819314456734043,3.6338275663433524,4.67750623756577,3.7285938706815105,4.5893700538158
1649608114.2182825,-3.2171138145693043,-2.510957554874974,-2.997643591897411,3.6627810030014762,4.448687022952164,3.716084538573007,4.716746122566743
1649608114.3191185,-3.2564213283747465,-2.460806588757719,-3.0204925474743707,3.7028620528709433,4.208053538374481,3.7313065926302325,4.638537348793497
1649608114.4200723,-3.257257576268813,-2.4609086706802588,-3.0182236673836775,3.7227001224079075,4.046600195041841,3.7443083835039044,4.593992323261381
1649608114.5209873,-3.2566023209679216,-2.4608271815696297,-3.0185726746445325,3.7251717470854255,4.031999811311966,3.706535863756819,4.457625623820344
1649608114.6219249,-3.2552916703126327,-2.4606653332301276,-3.0185726746445325,3.7262389572487433,4.024692238979025,3.7238479326486713,4.486686502216465
1649608114.7227116,-3.2553368611419358,-2.4606709468492154,-3.0192708223242963,3.725886491389685,4.031964101206416,3.728559445068606,4.717163186538625
1649608114.8237143,-3.2572353618631453,-2.4609027646640858,-3.0187472448539867,3.725360791695297,4.046512132168756,3.7366128442050055,4.627023007093472
1649608114.9245887,-3.2573483399600565,-2.4609167918133275,-3.0211906951541345,3.7222177121829723,4.046263654063666,3.7118500114862805,4.542485021683059
1649608115.025405,-3.25712229382949,-2.4608894751582224,-3.0204925474743707,3.72683148805736,4.033993807066726,3.7353527885578135,4.540006292032657
1649608115.1261744,-3.2570770896786088,-2.4608839700084335,-3.0203179772649156,3.725761610258275,4.0401115965138725,3.7240670727612266,4.509040724861065
1649608115.2170374,-3.2572579158657726,-2.4609059117035788,-3.021365265363589,3.726641986867176,4.041356070589287,3.712452646795807,4.500586627574261
1649608115.318285,-3.2573257280796186,-2.460914120114509,-3.02101612494468,3.7267997724743926,4.04027476574582,3.722313951860786,4.540006292032657
1649608115.4193308,-3.2571675075553532,-2.460894901401422,-3.0208415547352256,3.7261966660691903,4.038341120964763,3.7312439114474056,4.486628751864506
1649608115.5202224,-3.2573935402978123,-2.460922328536656,-3.0208415547352256,3.7261577090074542,4.0408401745539955,3.73239439703832,4.549294051306234
1649608115.6212494,-3.257303130532665,-2.4609113300668004,-3.0203179772649156,3.7270322578788755,4.037470453409405,3.728340304956051,4.5068340151382635
1649608115.722239,-3.257438743465942,-2.460927841570532,-3.0204925474743707,3.7259231821614662,4.040217317553882,3.7289977252937163,4.549294051306234
1649608115.8230371,-3.2572352979969548,-2.4609032893168807,-3.0208415547352256,3.7264875046574795,4.038775028629622,3.7276828846183854,4.540316210812154
1649608115.9239943,-3.2573257168910397,-2.4609142128391737,-3.019968970004061,3.7244871653158462,4.038664126044123,3.7228618021421735,4.487691910040287
1649608116.024656,-3.257235305240088,-2.460903230156312,-3.019968970004061,3.726206134175414,4.037061775877129,3.7236835775642554,4.5068340151382635
1649608116.125404,-3.2573935125518485,-2.4609225573428843,-3.0201435402135153,3.725537902872536,4.039217004072333,3.7264776139993323,4.487039149701476
1649608116.226112,-3.257506515471012,-2.4609363813553697,-3.019968970004061,3.725464605036162,4.039720553350548,3.7300934258564915,4.435210036076622
1649608116.3270295,-3.2576873512985456,-2.4609582441625655,-3.0204925474743707,3.725621510862874,4.039858920809832,3.718917280116182,4.671991909650411
1649608116.4178607,-3.258026383557681,-2.460999522903697,-3.0187472448539867,3.72595552077573,4.044854694149264,3.7329970323478463,4.5067041285567395
1649608116.5187204,-3.258026383557681,-2.460999522903697,-3.0187472448539867,3.7231923849799986,4.046851712092207,3.7240122877330877,4.540006292032657
1649608116.6195178,-3.2573257605452577,-2.4609138558593293,-3.0206671176838253,3.726206718529887,4.039486127440081,3.7151371131746065,4.4867064693890795
1649608116.720405,-3.2575065867397663,-2.460935797555366,-3.02101612494468,3.726206718529887,4.039486127440081,3.72571062360539,4.4867064693890795
1649608116.8214111,-3.2574387776357074,-2.4609275635006482,-3.0204925474743707,3.7260469518019206,4.0393673587424885,3.723080942254729,4.53992880687599
1649608116.9222102,-3.257529190488333,-2.460938536322489,-3.021888842833899,3.7278432791937877,4.037980191022922,3.728778585181161,4.498134300827805
1649608117.023193,-3.257257935457779,-2.4609057539717147,-3.019794399794606,3.7256737808544957,4.037067381807012,3.7356814987266462,4.486096763483524
1649608117.1240833,-3.2574839729297977,-2.4609331416305977,-3.021365265363589,3.7266753133064543,4.041127471443257,3.7209443261573165,4.521705946811837
1649608117.2249043,-3.2575065764467706,-2.4609358823715946,-3.0208415547352256,3.726556101852382,4.0395179678507835,3.722040026720092,4.540064406004052
1649608117.3258164,-3.261960082054375,-2.4614707224516774,-3.022586990513663,3.7217387141639113,4.083862631112229,3.7248340631551695,4.540548647013773
1649608117.4267542,-3.291828864146631,-2.4650116353421927,-3.0243322931340466,3.7016801561151667,4.242977476642219,3.727573314562108,4.455900022061657
1649608117.5176666,-3.32933079310337,-2.46934184815142,-3.028172038793723,3.6809068374961313,4.42711753010438,3.7229165871703125,4.3449664457661274
1649608117.6184676,-3.4062117227026403,-2.4671286443331146,-3.041089042961279,3.6343220997435686,4.875948851838818,3.713603132386721,4.457221165455453
1649608117.7191875,-3.518437772198023,-2.4637857753555377,-3.05334808072414,3.612370428865496,5.286360661741169,3.6825948064601755,4.54331736366666
1649608117.8200543,-3.6071140524497425,-2.47168081990928,-3.051602778103757,3.5391952262269446,6.33539630562333,3.6958505863641986,4.665773530179852
1649608117.9210598,-3.8649108873667872,-2.4951341534128972,-3.0493338980130638,3.4842196923401216,7.288714197084763,3.6795288736770253,4.846941205290334
1649608118.0217485,-4.077968548573962,-2.5154999546466295,-3.041828976903166,3.4859333964564945,7.284255486528228,3.6380901912745633,5.057566560281509
1649608118.1230726,-4.251847919080593,-2.518166097510287,-3.0538865263349786,3.4690458116152763,7.799427028966273,3.604235574251114,5.374639688007395
1649608118.2240314,-4.571253744062352,-2.5413461281905936,-3.0538647346198884,3.4522202176242196,8.005426678318218,3.638769057636751,5.677927567880185
1649608118.3248427,-4.729994434947472,-2.5556449937235954,-3.050024988960212,3.4359046566556226,8.816283121672493,3.5803922669568493,5.926222050140751
1649608118.4257867,-5.0791274029461135,-2.5895840212969863,-3.0393784698704023,3.4177597784878095,9.271506824216914,3.5854106341593344,7.122663305165402
1649608118.5265539,-5.2173491639447995,-2.609456050956697,-3.0239355450799676,3.404219262236648,9.481138024411988,3.547325951461965,7.372702479530175
1649608118.6174533,-5.379721954198346,-2.6650164042666096,-2.977394586012133,3.3765582257488242,9.635489966049114,3.5001334371569017,7.705081575054361
1649608118.718241,-5.5973550369731555,-2.7040415494965733,-2.9517383578605823,3.357601518918496,9.815172898634788,3.487609182307551,8.350748647047547
